BORO,USEDEC,ADDRESS,NAME,state
BROOKLYN,ELEMENTARY SCHOOL,1801 AVENUE Y,PS 254 & PLAYGROUND,NY
QUEENS,ACADEMIC HIGH SCHOOL,35-01 UNION STREET,FLUSHING HS,NY
BROOKLYN,ELEMENTARY SCHOOL,21 CRESCENT STREET,PS 7 (K-007),NY
QUEENS,INTERMEDIATE SCHOOL,85-05 144 STREET,JHS 217 & PLAYGROUND (JOP),NY
MANHATTAN,ELEMENTARY SCHOOL,45 EAST 81 ST,PS 6,NY
QUEENS,SPECIAL EDUCATION SCHOOL,4115 104 STREET,PS 721 (OTC-OL16),NY
QUEENS,ELEMENTARY SCHOOL,155-02 108 AVENUE,PS 48 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,431 WAVERLY AVENUE,PS 11 & PLAYGROUND,NY
MANHATTAN,ELEMENTARY SCHOOL,500 WEST 160 STREET,PS 4,NY
MANHATTAN,ALTERNATIVE HIGH SCHOOL,22 EAST 128 STREET,CTR FOR CONTINUED EDUCATION,NY
BROOKLYN,ELEMENTARY SCHOOL,325 BUSHWICK AVENUE,PS 147,NY
BRONX,ELEMENTARY SCHOOL,690 EAST 183 STREET,PS 32 & MINI SCHOOL,NY
QUEENS,ELEMENTARY SCHOOL,9311 34 AVENUE,PS 149 & PLAYGROUND (JOP),NY
QUEENS,ELEMENTARY SCHOOL,64-35 102 STREET,PS 175 & PLAYGROUND (JOP),NY
BRONX,ELEMENTARY SCHOOL,4318 KATONAH AVENUE,PS 19,NY
BRONX,ELEMENTARY SCHOOL,2111 CROTONA AVENUE,PS 57,NY
MANHATTAN,ELEMENTARY SCHOOL,530 WEST 138 STREET,PS 192 AND MINI-SCHOOL,NY
BROOKLYN,ELEMENTARY SCHOOL,432 MONROE STREET,PS 44,NY
BROOKLYN,ACADEMIC HIGH SCHOOL,50 AVENUE X,JOHN DEWEY HS,NY
BRONX,ELEMENTARY SCHOOL,757 CAULDWELL AVENUE,PS 157 & PLAYGROUND (JOP),NY
STATEN ISLAND,SPECIAL EDUCATION SCHOOL,91 HENDERSON AVENUE,PS 40,NY
MANHATTAN,ALTERNATIVE HIGH SCHOOL,229 ELDRIDGE STREET,FORSYTH ALT HS-OUTDOOR SPACE,NY
BROOKLYN,ELEMENTARY SCHOOL,370 FOUNTAIN AVENUE,IS 218 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,95-95 GROVE STREET,PS 75 & PLAYGROUND & MINI SCH,NY
BROOKLYN,ELEMENTARY SCHOOL,6302 AVENUE U,PS 236 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,143-26 101 AVENUE,PS 50 & PLAYGROUND,NY
MANHATTAN,ELEMENTARY SCHOOL,166 ESSEX STREET,PS 20,NY
MANHATTAN,ELEMENTARY SCHOOL,610 EAST 12 STREET,PS 61,NY
BROOKLYN,ELEMENTARY SCHOOL,51 CHRISTOPHER AVENUE,PS 332 & PLAYGROUND,NY
BRONX,ELEMENTARY SCHOOL,501 COURTLANDT AVENUE,DISTRICT #7 OFFICE(OLD PS 18),NY
BROOKLYN,VOCATIONAL HIGH SCHOOL,145 PENNSYLVANIA AVENUE,WILLIAM MAXWELL HIGH SCHOOL,NY
BROOKLYN,ELEMENTARY SCHOOL,1970 HOMECREST AVENUE,PS 153 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,364 SACKMAN STREET,PS 150 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,373 EAST 94 STREET,JHS 252 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,535 BRIAR PLACE,PS 215 & PLAYGROUND (JOP),NY
BRONX,ELEMENTARY SCHOOL,916 EAGLE AVENUE,"PS 140, MINI SCHOOL & PLGD",NY
BROOKLYN,ELEMENTARY SCHOOL,1023 NEW YORK AVENUE,"PS 181, MINI-SCHOOL&PLAYGROUND",NY
BROOKLYN,ACADEMIC HIGH SCHOOL,2886 BEDFORD AVENUE,MIDWOOD HS SCIENCE ANNEX,NY
QUEENS,ELEMENTARY SCHOOL,25-11 MOTT AVENUE,PS 104 & PLAYGROUND (JOP),NY
QUEENS,ELEMENTARY SCHOOL,147-27 15 DRIVE,PS 79,NY
QUEENS,ELEMENTARY SCHOOL,218-01 116 AVENUE,"PS 147, MINI-SCH & PLGD (JOP)",NY
BROOKLYN,ELEMENTARY SCHOOL,8601 RIDGE BOULEVARD,PS 185 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,801 PARK PLACE,PS 138 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,93 MESEROLE AVENUE,PS 31 (OLD JH 126) & PLGD0,NY
BRONX,ELEMENTARY SCHOOL,1827 ARCHER STREET,PS 102,NY
QUEENS,ELEMENTARY SCHOOL,420 BEACH CHANNEL DRIVE,PS 105 & PLAYGROUND.(JOP),NY
BROOKLYN,ELEMENTARY SCHOOL,490 FENIMORE STREET,PS 397 & PLAYGROUND,NY
MANHATTAN,ACADEMIC HIGH SCHOOL,2005 MADISON AVENUE,ARTHUR SCHOMBERG HS,NY
QUEENS,ELEMENTARY SCHOOL,53-11 SPRINGFIELD BOULEVARD,PS 203 PLYGRND&(OAKLAND GRDNS),NY
BROOKLYN,ELEMENTARY SCHOOL,5105 FT HAMILTON PARKWAY,PS 160 & PLAYGROUND,NY
BROOKLYN,INTERMEDIATE SCHOOL,5909 BEVERLEY ROAD,JHS 285 & PLAYGROUND,NY
BROOKLYN,ELEMENTARY SCHOOL,1314 PUTNAM AVENUE,PS 106 & PLAYGROUND,NY
QUEENS,ELEMENTARY SCHOOL,92-07 175 STREET,PS 268Q,NY
BROOKLYN,INTERMEDIATE SCHOOL,125 COVERT STREET,JHS 296 & PLAYGROUND,NY
BRONX,INTERMEDIATE SCHOOL,3710 BARNES AVENUE,JHS 113,NY
MANHATTAN,ACADEMIC HIGH SCHOOL,99 TERRACE VIEW AVENUE,JOHN F KENNEDY HS,NY
BROOKLYN,ELEMENTARY SCHOOL,5601-23 16 AVENUE,PS 180 AND PLAYGROUND,NY
BROOKLYN,ACADEMIC HIGH SCHOOL,6565 FLATLANDS AVENUE,SOUTH SHORE HS & ALTHL FIELD,NY
